Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
2.954155965,3,0x38,0x00,Write,ACK
2.954260450,3,0x38,0x07,Write,ACK
2.954569025,4,0x39,0x0D,Read,ACK
2.954674820,4,0x39,0x0F,Read,ACK
2.954780425,4,0x39,0xC7,Read,NAK
2.956969260,6,0x38,0x00,Write,ACK
2.957073745,6,0x38,0x22,Write,ACK
2.957293700,7,0x39,0x0D,Read,ACK
2.957417480,7,0x39,0x0D,Read,ACK
2.957522900,7,0x39,0x3C,Read,NAK
2.960258130,9,0x38,0x00,Write,ACK
2.960451295,9,0x38,0x07,Write,ACK
2.960671255,10,0x39,0x0D,Read,ACK
2.960777045,10,0x39,0x0F,Read,ACK
2.960882655,10,0x39,0xC7,Read,NAK
2.962794075,12,0x38,0x00,Write,ACK
2.962971315,12,0x38,0x22,Write,ACK
2.963191270,13,0x39,0x0D,Read,ACK
2.963297065,13,0x39,0x0D,Read,ACK
2.963421410,13,0x39,0x3C,Read,NAK
2.966028235,15,0x38,0x00,Write,ACK
2.966132720,15,0x38,0x07,Write,ACK
2.966441485,16,0x39,0x0D,Read,ACK
2.966547275,16,0x39,0x0F,Read,ACK
2.966652885,16,0x39,0xC7,Read,NAK
2.968585350,18,0x38,0x00,Write,ACK
2.968689835,18,0x38,0x22,Write,ACK
2.968982545,19,0x39,0x0D,Read,ACK
2.969088340,19,0x39,0x0D,Read,ACK
2.969193760,19,0x39,0x3C,Read,NAK
2.972180550,21,0x38,0x00,Write,ACK
2.972285030,21,0x38,0x07,Write,ACK
2.972520850,22,0x39,0x0D,Read,ACK
2.972626645,22,0x39,0x0F,Read,ACK
2.972732255,22,0x39,0xC7,Read,NAK
2.974775820,24,0x38,0x00,Write,ACK
2.974880305,24,0x38,0x22,Write,ACK
2.975100260,25,0x39,0x0D,Read,ACK
2.975206055,25,0x39,0x0D,Read,ACK
2.975311475,25,0x39,0x3C,Read,NAK
2.977647070,27,0x38,0x00,Write,ACK
2.977751555,27,0x38,0x07,Write,ACK
2.978062380,28,0x39,0x0D,Read,ACK
2.978168175,28,0x39,0x0F,Read,ACK
2.978273785,28,0x39,0xC7,Read,NAK
2.981001205,30,0x38,0x00,Write,ACK
2.981105690,30,0x38,0x22,Write,ACK
2.981325645,31,0x39,0x0D,Read,ACK
2.981540605,31,0x39,0x0D,Read,ACK
2.981646025,31,0x39,0x3C,Read,NAK
2.983827990,33,0x38,0x00,Write,ACK
2.984023655,33,0x38,0x07,Write,ACK
2.984243610,34,0x39,0x0D,Read,ACK
2.984365270,34,0x39,0x0F,Read,ACK
2.984470875,34,0x39,0xC7,Read,NAK
2.986915825,36,0x38,0x00,Write,ACK
2.987020310,36,0x38,0x22,Write,ACK
2.987350055,37,0x39,0x0D,Read,ACK
2.987455850,37,0x39,0x0D,Read,ACK
2.987561270,37,0x39,0x3C,Read,NAK
2.989527780,39,0x38,0x0F,Write,ACK
2.989602850,39,0x38,0xFF,Write,ACK
2.989677915,39,0x38,0x01,Write,ACK
2.989752985,39,0x38,0xBE,Write,ACK
2.990021340,41,0x38,0x0F,Write,ACK
2.990096410,41,0x38,0xFF,Write,ACK
2.990171480,41,0x38,0x80,Write,ACK
2.990246545,41,0x38,0x3E,Write,ACK
2.990532265,43,0x38,0x1F,Write,ACK
2.990698955,43,0x38,0xF0,Write,ACK
2.990774015,43,0x38,0x00,Write,ACK
2.990849085,43,0x38,0x00,Write,ACK
2.990924155,43,0x38,0x00,Write,ACK
2.991100455,45,0x38,0x1F,Write,ACK
2.991175525,45,0x38,0xF3,Write,ACK
2.991250590,45,0x38,0x04,Write,ACK
2.991344645,45,0x38,0x00,Write,ACK
2.991419715,45,0x38,0x22,Write,ACK
2.991687885,47,0x38,0x1F,Write,ACK
2.991762955,47,0x38,0xF4,Write,ACK
2.991838020,47,0x38,0x00,Write,ACK
2.991913085,47,0x38,0x00,Write,ACK
2.991988155,47,0x38,0x01,Write,ACK
2.992164460,49,0x38,0x1F,Write,ACK
2.992239530,49,0x38,0xF6,Write,ACK
2.992422075,49,0x38,0x02,Write,ACK
2.992497140,49,0x38,0x40,Write,ACK
2.992572215,49,0x38,0x80,Write,ACK
2.992748515,51,0x38,0x1F,Write,ACK
2.992823585,51,0x38,0xF7,Write,ACK
2.992898650,51,0x38,0x00,Write,ACK
2.992973715,51,0x38,0x00,Write,ACK
2.993048790,51,0x38,0x80,Write,ACK
2.994229565,54,0x38,0x00,Write,ACK
2.994349350,54,0x38,0x07,Write,ACK
2.994569310,55,0x39,0x0C,Read,ACK
2.994674915,55,0x39,0x00,Read,ACK
2.994779775,55,0x39,0x00,Read,NAK
2.995932650,57,0x38,0x1F,Write,ACK
2.996007720,57,0x38,0xF8,Write,ACK
2.996082790,57,0x38,0xF0,Write,ACK
2.996157855,57,0x38,0xEA,Write,ACK
2.996232925,57,0x38,0xED,Write,ACK
2.996450570,59,0x38,0x1F,Write,ACK
2.996629810,59,0x38,0xF9,Write,ACK
2.996704875,59,0x38,0x12,Write,ACK
2.996779940,59,0x38,0x43,Write,ACK
2.996855010,59,0x38,0x34,Write,ACK
2.997031315,61,0x38,0x1F,Write,ACK
2.997106385,61,0x38,0xFA,Write,ACK
2.997181450,61,0x38,0x00,Write,ACK
2.997256520,61,0x38,0x4A,Write,ACK
2.997441190,61,0x38,0x1A,Write,ACK
2.997617490,63,0x38,0x1F,Write,ACK
2.997692565,63,0x38,0xFB,Write,ACK
2.997767630,63,0x38,0x00,Write,ACK
2.997842695,63,0x38,0x71,Write,ACK
2.997917765,63,0x38,0xC7,Write,ACK
2.998094065,65,0x38,0x1F,Write,ACK
2.998169140,65,0x38,0xFC,Write,ACK
2.998351935,65,0x38,0x0C,Write,ACK
2.998427000,65,0x38,0x02,Write,ACK
2.998502070,65,0x38,0x3F,Write,ACK
2.998678370,67,0x38,0x1F,Write,ACK
2.998753445,67,0x38,0xFD,Write,ACK
2.998828510,67,0x38,0x00,Write,ACK
2.998903575,67,0x38,0x00,Write,ACK
2.998978645,67,0x38,0x12,Write,ACK
2.999425985,70,0x38,0x00,Write,ACK
2.999530465,70,0x38,0x22,Write,ACK
2.999750425,71,0x39,0x0C,Read,ACK
2.999856030,71,0x39,0x00,Read,ACK
3.000052820,71,0x39,0x00,Read,NAK
3.001129005,73,0x38,0x1F,Write,ACK
3.001204075,73,0x38,0xF8,Write,ACK
3.001279140,73,0x38,0x6F,Write,ACK
3.001372755,73,0x38,0x02,Write,ACK
3.001447830,73,0x38,0xB1,Write,ACK
3.001716060,75,0x38,0x1F,Write,ACK
3.001791130,75,0x38,0xF9,Write,ACK
3.001866195,75,0x38,0x12,Write,ACK
3.001941260,75,0x38,0x03,Write,ACK
3.002016330,75,0x38,0x34,Write,ACK
3.002192630,77,0x38,0x1F,Write,ACK
3.002267705,77,0x38,0xFB,Write,ACK
3.002384050,77,0x38,0x00,Write,ACK
3.002550985,77,0x38,0x63,Write,ACK
3.002626055,77,0x38,0x0C,Write,ACK
3.002802355,79,0x38,0x08,Write,ACK
3.002877425,79,0x38,0x00,Write,ACK
3.002952490,79,0x38,0x0C,Write,ACK
3.003027560,79,0x38,0x6C,Write,ACK
3.003203860,81,0x38,0x10,Write,ACK
3.003389285,81,0x38,0x00,Write,ACK
3.003464350,81,0x38,0x00,Write,ACK
3.003539420,81,0x38,0x0B,Write,ACK
3.003614485,81,0x38,0x4B,Write,ACK
3.003790790,83,0x38,0x21,Write,ACK
3.003865855,83,0x38,0x2B,Write,ACK
3.003940925,83,0x38,0x08,Write,ACK
3.004015995,83,0x38,0x00,Write,ACK
3.004459900,86,0x38,0x00,Write,ACK
3.004564385,86,0x38,0x07,Write,ACK
3.004784340,87,0x39,0x0C,Read,ACK
3.004889945,87,0x39,0xD4,Read,ACK
3.005086985,87,0x39,0x2E,Read,NAK
3.006283705,89,0x38,0x11,Write,ACK
3.006375260,89,0x38,0x3E,Write,ACK
3.006450325,89,0x38,0x00,Write,ACK
3.006525395,89,0x38,0x09,Write,ACK
3.006600465,89,0x38,0x05,Write,ACK
3.006868445,91,0x38,0x11,Write,ACK
3.006943515,91,0x38,0x3E,Write,ACK
3.007018580,91,0x38,0x00,Write,ACK
